flow_id,capture_id,dataset,label,q_packet_count,sz_cv,sz_iqr,sz_qratio,sz_median_to_mean,sz_p25_median_ratio,sz_p75_median_ratio,sz_iqr_norm_median,iat_cv,iat_iqr,direction_balance_bytes,direction_balance_packets,dispersion_symmetry,vpn_score_raw,vpn_score,decision
nonvpn_netflix3.pcap::218256,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9926992300804944,7.5196709632873535,-0.33333333164983164,-0.33333322222225925,0.0,0.00018635084848733262,0.0,PASS
nonvpn_netflix3.pcap::218257,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9919550807775429,7.022421956062317,-0.33333333164983164,-0.33333322222225925,0.0,0.00018635084848733262,0.0,PASS
nonvpn_netflix3.pcap::218258,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9951249708406646,7.438180565834045,0.33333333164983164,0.33333322222225925,0.0,0.0076509060890722295,0.00510204081632653,PASS
nonvpn_netflix3.pcap::218259,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9951476944750361,7.440374970436096,0.33333333164983164,0.33333322222225925,0.0,0.0076509060890722295,0.00510204081632653,PASS
nonvpn_netflix3.pcap::218260,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9950089089768389,7.431864380836487,0.33333333164983164,0.33333322222225925,0.0,0.0076509060890722295,0.00510204081632653,PASS
nonvpn_netflix3.pcap::218264,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9926854492981012,7.3881388902664185,-0.33333333164983164,-0.33333322222225925,0.0,0.00018635084848733262,0.0,PASS
nonvpn_netflix3.pcap::218265,nonvpn_netflix3.pcap,iscx,0,3.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,0.9923474019942171,7.394198298454285,-0.33333333164983164,-0.33333322222225925,0.0,0.00018635084848733262,0.0,PASS
nonvpn_netflix3.pcap::218266,nonvpn_netflix3.pcap,iscx,0,33.0,1.5784658196949894,4014.0,61.818180881542716,0.026800546336342945,1.0,61.81818181818182,60.81818089669423,4.34442218293047,6.753206253051758e-05,0.9576703951055451,0.030303029384756687,0.999999999750872,0.0003148550075503896,0.0,PASS
nonvpn_netflix3.pcap::218272,nonvpn_netflix3.pcap,iscx,0,9.0,0.0,0.0,0.9999999848484851,0.9999999848484851,1.0,1.0,0.0,1.1145408489157205,45.004867374897,-0.11111111092405537,-0.11111109876543349,0.0,0.0003349019475962143,0.0,PASS
nonvpn_netflix3.pcap::218273,nonvpn_netflix3.pcap,iscx,0,10.0,0.2614107847661026,0.0,0.9999999848484851,0.9128630579133741,1.0,1.0,0.0,1.2346782035562573,45.006078243255615,-0.2697095431954225,-0.19999998000000202,0.0,0.001536629357449678,0.0,PASS
