flow_id,capture_id,dataset,label,sz_coef_variation,sz_p25_median_ratio,sz_p75_median_ratio,sz_iqr_norm_median,dispersion_symmetry,direction_balance_bytes,direction_balance_packets,sz_mean_max,sz_mean_min,sz_std_max,sz_std_min,iat_all_mean,iat_all_std,iat_all_p25,iat_all_median,iat_all_p75,iat_mean_max,iat_mean_min,iat_std_max,iat_std_min,sz_all_mean,sz_all_std,sz_all_median,sz_all_p25,sz_all_p75,sz_cv,sz_iqr,sz_qratio,sz_median_to_mean,iat_iqr,iat_cv,iat_median,iat_p25,iat_p75
nonvpn_scp1.pcapng::218681,nonvpn_scp1.pcapng,iscx,0,0.05714285714285714,0.9428571428571428,1.0571428571428572,0.11428571265306126,0.9999997500000625,2.7837837461650845,2.9999970000030003,74.0,68.66666666666667,3.7712361663282534,0.0,1.860556999842326,2.609390273284728,0.015460968017578125,0.030897855758666992,2.790823459625244,2.7908354997634888,0.0,2.7599135637283325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775362491607666,1.4024780063730293,0.030897855758666992,0.015460968017578125,2.790823459625244
nonvpn_scp1.pcapng::218776,nonvpn_scp1.pcapng,iscx,0,0.13418611101430247,0.9310344827586207,1.1206896551724137,0.1896551691438764,1.7499995625001092,2.9354838236212286,2.9999970000030003,62.0,60.666666666666664,9.428090415820632,0.0,1.9497965971628826,2.713235007769036,0.03133499622344971,0.06266498565673828,2.924692392349243,2.9246948957443237,0.0,2.8620249032974243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8933573961257935,1.391547718528934,0.06266498565673828,0.03133499622344971,2.924692392349243
non_streaming_25098,non_streaming__chunk_0250,usbvpn,0,0.2932571264856391,0.9999999978448276,0.9999999978448276,0.0,0.0,0.9999999999995706,0.9999999997812773,509.2353455818023,0.0,149.33689444349787,0.0,0.0029192990532747585,0.048992259240219396,9.5367431640625e-07,1.1920928955078125e-06,3.695487976074219e-05,0.0029192990532747585,0.0029192990532747585,0.048992259240219396,0.048992259240219396,509.2353455818023,149.33689444349787,464.0,464.0,464.0,0.29325712706094065,0.0,0.9999999999978448,0.9111700592364971,3.600120544433594e-05,16.782193795139957,1.1920928955078125e-06,9.5367431640625e-07,3.695487976074219e-05
non_streaming_30812,non_streaming__chunk_0308,usbvpn,0,1.5133335051151549,0.8666666522222225,5.245833245902779,4.379166593680557,31.84374601953175,-0.6734541841726528,0.0,673.9,131.5,755.9413270882867,155.68509883736465,0.001928467499582391,0.003257728618320736,2.4557113647460938e-05,0.0006349086761474609,0.003218412399291992,0.001928467499582391,0.001928467499582391,0.003257728618320736,0.003257728618320736,402.7,609.4194040232063,60.0,52.0,314.75,1.5133335088693642,262.75,6.052884615268214,0.1489942885519022,0.0031938552856445312,1.6892827749202,0.0006349086761474609,2.4557113647460938e-05,0.003218412399291992
nonvpn_scp1.pcapng::221070,nonvpn_scp1.pcapng,iscx,0,0.05714285714285714,0.9428571428571428,1.0571428571428572,0.11428571265306126,0.9999997500000625,2.7837837461650845,2.9999970000030003,74.0,68.66666666666667,3.7712361663282534,0.0,1.8456663290659587,2.581490584805818,0.020314455032348633,0.04061388969421387,2.7684919834136963,2.768499493598938,0.0,2.7278705835342407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7481775283813477,1.3986767503709963,0.04061388969421387,0.020314455032348633,2.7684919834136963
non_streaming_28199,non_streaming__chunk_0281,usbvpn,0,1.138809562081489,0.028490028469736445,1.0384615377218933,1.009971509252157,0.03958944278622475,-0.9579211469507639,-0.161716171083445,2017.4375,60.08661417322835,1260.9238255426148,69.14403813631381,0.01340376225528338,0.1749775942700432,1.3113021850585938e-05,2.7894973754882812e-05,5.793571472167969e-05,0.01340376225528338,0.01340376225528338,0.1749775942700432,0.1749775942700432,1197.029702970297,1363.1888729769485,1404.0,40.0,1458.0,1.1388095630319006,1418.0,36.44999999908875,1.172903225805472,4.482269287109375e-05,13.054363236464358,2.7894973754882812e-05,1.3113021850585938e-05,5.793571472167969e-05
nonvpn_scp1.pcapng::218622,nonvpn_scp1.pcapng,iscx,0,0.922446141952047,0.03013166779203241,1.4888588791357191,1.4587272108512062,0.5040466450251339,44.53179722681441,2.57142847959184,3355.347222222222,193.75,2088.963905595588,351.8883370981685,0.09843785199282866,0.9539794765511579,2.0265579223632812e-06,8.106231689453125e-06,0.00043904781341552734,0.36092588636610246,0.13724756697576815,1.8132344825770184,1.1241253296774958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043702125549316406,9.691185327057639,8.106231689453125e-06,2.0265579223632812e-06,0.00043904781341552734
non_streaming_29077,non_streaming__chunk_0290,usbvpn,0,0.2362391354402271,0.9999999978448276,0.9999999978448276,0.0,0.0,0.9999999999995912,0.9999999998159057,450.20913107511046,0.0,106.35701612871911,0.0,0.0017796573312303195,0.037783774647064165,9.5367431640625e-07,1.1920928955078125e-06,3.504753112792969e-05,0.0017796573312303195,0.0017796573312303195,0.037783774647064165,0.037783774647064165,450.20913107511046,106.35701612871911,464.0,464.0,464.0,0.23623913596443435,0.0,0.9999999999978448,1.0306321395368547,3.409385681152344e-05,21.230914936881934,1.1920928955078125e-06,9.5367431640625e-07,3.504753112792969e-05
non_streaming_13152,non_streaming__chunk_0131,usbvpn,0,0.755065872802513,0.04920634916729654,0.9999999992063491,0.9507936500390526,0.0,-0.9181829301786018,-0.3058823511418685,1130.2072072072071,90.69491525423729,357.82929437375606,161.54343008817733,0.007408910954492332,0.053482452788745624,1.3828277587890625e-05,3.0040740966796875e-05,0.0006170272827148438,0.007408910954492332,0.007408910954492332,0.053482452788745624,0.053482452788745624,769.435294117647,580.9743326730653,1260.0,62.0,1260.0,0.7550658737828564,1198.0,20.322580644833508,1.6375646004688056,0.0006031990051269531,7.2186649156111224,3.0040740966796875e-05,1.3828277587890625e-05,0.0006170272827148438
non_streaming_36571,non_streaming__chunk_0365,usbvpn,0,1.5608104366999185,0.9999999807692311,4.55769222004438,3.5576922392751493,185000000.0,-0.69185645260665,-0.05882352595155729,544.7777777777778,111.625,648.065802176459,173.02018487737203,0.002884700894355774,0.004740701290787768,1.5914440155029297e-05,0.0005630254745483398,0.002638101577758789,0.002884700894355774,0.002884700894355774,0.004740701290787768,0.004740701290787768,340.94117647058823,532.1445480968532,52.0,52.0,237.0,1.560810441273287,185.0,4.55769230760466,0.1525189786054878,0.0026221871376037598,1.6433938286876209,0.0005630254745483398,1.5914440155029297e-05,0.002638101577758789
